0218 Magalang             B200685-A Va Ni Na                  {+1}   (F54+4) [376A] B    -  - 715 7  Im   M5 V           
0219 Doha                 E200112-4 Va Lo                     {-3}   (301-1) [1113] B    -  - 304 6  Im   M5 V           
0221 Uptrix               C200553-9 Va Ni                     {-1}   (F42+1) [545C] B    -  - 206 8  Im   M0 V           
0237 Nova Olinda          C2006AA-6 Va Ni Na                  {-2}   (654+0) [8476] B    S  - 104 7  Im   M5 V           
0302 Featherstone         ADB3CDF-A Fl Hi In                  {+5}   (CBA+1) [EF96] fEB  NS A 313 6  Im   K5 V M5 V w D  
0307 Newport              C200598-8 Va Ni                     {-2}   (B43-2) [5399] B    S  - 903 7  Im   K5 V           
0310 Neuenhof             C200430-B Va Ni                     {+0}   (C32-1) [2437] B    -  - 214 8  Im   M0 V           
0313 Kriftel              E8A0000-0 He Ba                     {-3}   (400+1) [0000] B    -  - 012 8  Im   G5 V           
0314 Cabries              C6A058C-5 He Ni                     {-2}   (940+2) [6351] B    -  - 210 4  Im   K5 V M5 V      
0315 Sarema               B685856-8 Ga Ph Pa Ri               {+1}   (379+0) [6978] eCcB N  - 800 5  Im   F5 V M5 V      
0324 Bartica              C200564-7 Va Ni                     {-2}   (A43+2) [7325] B    -  - 705 7  Im   M5 V           
0325 Dawn                 CBB1643-9 Fl He Ni                  {-1}   (C51+4) [4557] B    -  - 313 8  Im   K5 V           
0327 Carthage             CDB6885-9 Fl Ph                     {+0}   (C75+1) [5838] eB   -  - 303 8  Im   K0 V           
0335 Fegyvernek           A20089D-F Va Ph Na Pi               {+2}   (B7E+5) [9A4F] eDB  N  - 702 4  Im   M5 V M5 V      
0406 Badacsony            B6A0885-9 He Ph                     {+1}   (87A+1) [8974] eB   N  - 703 8  Im   K0 V           
0411 University Heights   D6B4122-6 Fl Lo                     {-3}   (801+1) [4145] B    S  - 615 7  Im   M5 V           
0418 Nezhdanova           DAB4366-5 Fl Lo Px                  {-3}   (821+0) [3112] B    S  - 703 7  Im   M0 V           
0421 Teng                 C7A7599-5 Fl Ni                     {-2}   (744+5) [4384] B    -  - 303 8  Im   K0 V           
0430 Georg                C6A6536-5 Fl Ni                     {-2}   (C42-5) [7311] B    -  - 400 5  Im   G0 V M5 V      
0431 Ataco                A000955-F As Va Hi Na In            {+4}   (788+0) [8D5B] fEB  -  - 200 3  Im   M0 V w D       
0433 Mwene-Ditu           D20047B-4 Va Ni                     {-3}   (630+2) [3124] B    S  - 805 8  Im   M0 V           
0437 Cavenago di Brianz   A20068B-B Va Ni Na                  {+1}   (A56-1) [7788] B    N  - 706 7  Im   M0 V           
0440 Talsi                D200465-4 Va Ni                     {-3}   (530+3) [3148] B    -  - 914 7  Im   M0 V           
0501 Sao Vicente do Sul   X8B8100-1 Fl Lo                     {-3}   (801+0) [5161] B    -  R 300 4  Im   K5 V K5 V      
0508 Torit                D5A0122-8 He Lo                     {-3}   (B01+0) [6186] B    S  - 503 5  Im   M0 V M5 V      
0511 Von Flue             C200576-8 Va Ni                     {-2}   (A40+3) [A329] B    S  - 400 3  Im   M5 V M5 V      
0521 Fremantle            C200554-A Va Ni                     {+0}   (F41-2) [659D] B    -  - 508 8  Im   w D            
0522 Datian               C7A2556-B Fl He Ni Px               {+0}   (843-1) [256D] B    -  - 703 9  Im   F5 V           
0534 Omolon               C6A3272-9 Fl Lo                     {-1}   (911+1) [1127] B    -  - 914 8  Im   K5 V           
0535 Pavlovskiy Posad     C200422-6 Va Ni                     {-2}   (C32-1) [1277] B    -  - 706 8  Im   M0 V           
0537 Novikov              B9A686A-7 Fl Ph                     {+0}   (67B+0) [9885] eB   -  - 804 7  Im   M0 V           
0538 Waltenhofen          C200362-B Va Lo                     {+0}   (B21-1) [2369] B    S  - 505 7  Im   M0 V           
0607 Grand Rapids         BAB5655-A Fl Ni                     {+1}   (B52+2) [976B] B    N  - 504 8  Im   M0 V           
0608 Salina               E95359A-7 Ni Po                     {-3}   (741-2) [7246] B    -  - 913 9  Im   F0 V           
0609 Ernest               EBB6415-6 Fl Ni                     {-3}   (830+2) [1143] B    -  - 100 4  Im   K0 V M5 V      
0615 Sparta               C76A485-6 Wa Ni                     {-2}   (433+0) [2217] B    -  - 304 8  Im   K5 V           
0616 Petite-Rosselle      A000AAB-F As Va Hi Na In            {+4}   (C9E+0) [8E1F] fEB  N  - 515 7  Im   w D            
0618 Manzar               A200665-B Va Ni Na                  {+1}   (C57+2) [2779] B    -  - 615 6  Im   M5 V           
0620 Ivanka               B769697-C Ni Ri                     {+2}   (955+2) [6827] CB   S  - 914 8  Im   K0 V           
0623 Mordrus              B7A6852-9 Fl Ph                     {+2}   (678+2) [8A34] eB   NS - 403 7  Im   M0 V           
0626 Baarle-Nassau        A9A4877-A Fl Ph                     {+2}   (B79+4) [6A8D] eB   -  - 601 3  Im   M0 V M5 V      
0634 Bouabout             A200898-D Va Ph Na Pi               {+2}   (C79-1) [9A7C] eDB  S  - 804 8  Im   G0 V           
0636 Jinzhou              B30078A-A Va Na Pi                  {+2}   (A6B+1) [A927] DB   S  - 505 7  Im   M0 V           
0639 Oued Naanaa          D200305-A Va Lo                     {-1}   (B21+0) [22AC] B    S  - 605 8  Im   K5 V           
0701 Mendillo             B200653-D Va Ni Na                  {+1}   (D54-3) [973B] B    -  - 603 8  Im   G5 V           
0702 Ettlingen            C200204-7 Va Lo                     {-2}   (611+3) [2116] B    S  - 515 8  Im   M0 V           
0703 Tarrafal             AAB1887-D Fl He Ph                  {+2}   (977+2) [7A4C] eB   -  - 603 9  Im   F0 V           
0705 Lida                 A4107A7-F Na Pi                     {+2}   (A69+1) [599D] DB   N  - 504 7  Im   K5 V           
0709 Tinipuka             D864514-4 Ni Ag Pr                  {-2}   (643+4) [7344] CcB  S  - 700 3  Im   K0 V K5 V      
0711 Essex                BAB2640-B Fl He Ni                  {+1}   (B52-2) [872B] B    -  - 212 9  Im   F0 V           
0714 Liuba                CCB0410-7 He Ni                     {-2}   (630-1) [5268] B    -  - 703 8  Im   K5 V           
0721 Tarendo              A200753-B Va Na Pi                  {+2}   (869-1) [B94A] DB   -  - 704 7  Im   M0 V           
0725 Maltahohe            C200355-B Va Lo                     {+0}   (921+2) [535C] B    -  - 505 7  Im   M5 V           
0728 Ruteng               CBB5322-9 Fl Lo                     {-1}   (A21-2) [321B] B    -  - 203 8  Im   G0 V           
0729 Nasarawa             C300521-B Va Ni                     {+0}   (343+0) [9579] B    S  - 410 4  Im   G0 III M5 III  
0733 Birchington          C8A1438-A Fl He Ni Px               {+0}   (734+0) [343B] B    S  - 300 4  Im   K5 V K5 V      
0737 Watari               C969467-9 Ni                        {-1}   (A34-2) [133A] B    S  - 413 8  Im   G5 V           
0738 Dolero               CAB2577-8 Fl He Ni Px               {-2}   (B40+1) [3359] B    -  - 602 7  Im   K5 V           
0801 Bloomington          A8A2676-C Fl He Ni Px               {+1}   (D55-2) [471A] B    N  - 313 8  Im   K5 V           
0802 Actopan              D867340-2 Ga Lo                     {-3}   (821+0) [3141] B    S  - 511 9  Im   F0 V           
0807 Vawkavysk            C200100-B Va Lo                     {+0}   (B01-3) [112D] B    -  - 405 8  Im   M0 V           
0808 Greeley              E200331-7 Va Lo                     {-3}   (521+0) [3167] B    -  - 405 8  Im   M0 V           
0809 Refuge               C881576-8 Ni Pr                     {-2}   (840+4) [6358] cB   -  - 900 3  Im   G5 V w D       
0812 Niemeyer             C8A76A5-8 Fl Ni                     {-2}   (C51+0) [3467] B    S  - 704 7  Im   M0 V           
0815 Sao Mateus do Mara   C200377-A Va Lo                     {+0}   (E21-1) [132B] B    -  - 306 8  Im   K5 V           
0816 Salpeter             B2007AB-D Va Na Pi                  {+2}   (C69-2) [694E] DB   S  - 406 8  Im   K5 V           
0817 Bauschinger          C200559-8 Va Ni                     {-2}   (F40-4) [538C] B    -  - 104 6  Im   M5 V           
0818 Sollenberger         B6B7768-7 Fl                        {+0}   (A65-4) [4778] B    -  - 603 8  Im   K5 V           
0819 Mbanza Kongo         E5B3310-8 Fl Lo                     {-3}   (821+3) [1183] B    -  - 601 4  Im   M0 V M5 V      
0820 Hiwasa               C843555-6 Ni Po                     {-2}   (843+3) [5387] B    -  - 713 9  Im   F5 V           
0821 Bartolini            E510200-8 Lo                        {-3}   (F11+2) [411B] B    -  - 203 6  Im   M5 V           
0823 Colindres            B8B4664-7 Fl Ni                     {-1}   (855-3) [6547] B    -  - 913 7  Im   K5 V           
0826 Millman              C200796-8 Va Na Pi                  {-1}   (665-3) [C61D] DB   S  - 804 8  Im   G5 V           
0828 Ilmenau              A200873-D Va Ph Na Pi               {+2}   (F7D+2) [BA5A] eDB  N  - 906 7  Im   M5 V           
0832 Stur                 C6B9485-B Fl Ni                     {+0}   (D31-2) [349B] B    S  - 305 7  Im   M0 V           
0834 Balingoan            C8A0416-5 He Ni                     {-2}   (434+0) [3245] B    S  - 802 8  Im   G5 V           
0840 Dabu                 B6A4767-B Fl                        {+2}   (A6C-3) [794D] B    -  - 213 8  Im   G0 V           
0901 Koronadal            C200468-6 Va Ni                     {-2}   (730-3) [5263] B    S  - 213 7  Im   M0 V           
0905 Deikoon              A200EDB-E Va Hi Na In               {+4}   (8DE+3) [EF3F] fEB  -  - 504 7  Im   M0 V           
0907 Inhambupe            C866566-8 Ga Ni Ag Pr               {-1}   (C43-3) [7435] CcB  S  - 201 5  Im   K5 V M5 V      
0909 Temascaltepec de G   B9B3865-7 Fl Ph                     {+0}   (57A-2) [3856] eB   -  - 712 5  Im   M0 V M5 V      
0919 Alpicat              B5A6669-A Fl Ni                     {+1}   (B53+0) [877D] B    -  - 104 6  Im   M5 V           
0920 Santa Fe             DBB0646-7 He Ni                     {-3}   (652+2) [7368] B    -  - 223 9  Im   F5 V           
0921 Lake                 C200345-B Va Lo                     {+0}   (921+1) [1397] B    -  - 805 8  Im   M0 V           
0922 Beringovskiy         B7479BD-A Hi In                     {+4}   (E8D+2) [9D57] fEB  -  - 603 8  Im   K0 V           
0924 Bedwas               C8B3575-7 Fl Ni                     {-2}   (641+3) [3378] B    -  - 911 6  Im   M5 V w D w D   
0928 London               C653550-8 Ni Po                     {-2}   (B40+1) [5318] B    -  - 304 8  Im   G5 V           
0935 Copiague             B200747-A Va Na Pi                  {+2}   (F69+2) [2947] DB   -  - 504 4  Im   w D w D        
0938 Tarim                B8C2896-8 Fl He Ph                  {+0}   (D77+1) [984B] eB   -  - 413 9  Im   F0 V           
1003 Zephyrhills          C200566-B Va Ni                     {+0}   (F41-1) [756E] B    S  - 905 7  Im   M0 V           
1006 Cassis               D200120-7 Va Lo                     {-3}   (401+3) [1165] B    -  - 304 6  Im   M5 V           
1010 Bryan                CDB2344-7 Fl Lo                     {-2}   (421-3) [218A] B    S  - 503 9  Im   F5 V           
1013 Ross                 E6A9110-5 Fl Lo                     {-3}   (701+1) [1166] B    -  - 114 7  Im   M0 V           
1014 Norwalk              A7A56B9-A Fl Ni Px                  {+1}   (D53+2) [272A] B    N  - 503 9  Im   F0 V           
1019 Stowbtsy             C200366-6 Va Lo                     {-2}   (A21-1) [1147] B    -  - 703 7  Im   M0 V           
1023 Monte Alegre de Mi   C200200-C Va Lo                     {+0}   (911-3) [527D] B    -  - 202 4  Im   M0 V M5 V      
1025 Eldersburg           C778110-4 Lo                        {-2}   (A01+1) [2113] B    S  - 713 8  Im   K5 V           
1027 Weeze                DBB6451-4 Fl Ni                     {-3}   (730+4) [1186] B    S  - 922 9  Im   F0 V           
1028 Tyrnyauz             C000233-C As Va Lo                  {+0}   (C11+0) [222F] B    S  - 924 8  Im   G5 V           
1029 Itanhomi             A200996-E Va Hi Na In               {+4}   (989-3) [6D2F] fEB  -  - 104 7  Im   K5 V           
1033 Oulad Chikh          B2009CD-C Va Hi Na In               {+4}   (D88-1) [6D8B] fEB  -  - 308 8  Im   w D            
1034 San Angelo           C6A68CA-7 Fl Ph                     {-1}   (677-1) [7768] eB   -  - 323 9  Im   F5 V           
1039 South Beloit         C663267-9 Lo                        {-1}   (C11+0) [3117] B    -  - 700 4  Im   G0 V G5 V      
1040 Catunda              A000663-F As Va Ni Na               {+1}   (A53-1) [577E] B    S  - 210 4  Im   K5 V w D       
1105 La Sarre             C300587-8 Va Ni                     {-2}   (A40-1) [439B] B    S  - 303 4  Im   w D w D        
1108 Upton                B300688-9 Va Ni Na                  {+0}   (951+5) [267A] B    -  - 504 7  Im   M0 V           
1111 Chililabombwe        A86799E-E Ga Hi Pr                  {+3}   (98B+0) [6C1A] EcB  -  - 703 8  Im   K0 V           
1113 Neulengbach          C200440-9 Va Ni                     {-1}   (E32-2) [233C] B    -  - 614 7  Im   M5 V           
1114 Lutzen               C6B3264-8 Fl Lo                     {-2}   (811+1) [318D] B    -  - 510 8  Im   M0 III         
1118 Liski                A100696-E Va Ni Na                  {+1}   (C56+0) [578A] B    -  - 204 6  Im   M5 V           
1119 Leyla                DEB2100-5 Fl Lo                     {-3}   (801-3) [1145] B    -  - 303 8  Im   G5 V           
1120 Omachi               D200520-5 Va Ni                     {-3}   (642-5) [6275] B    -  - 907 7  Im   w D            
1126 Babi Ngepet          E200235-7 Va Lo                     {-3}   (A11-2) [4169] B    -  - 606 8  Im   M0 V           
1132 Touggourt            B200694-9 Va Ni Na                  {+0}   (B55+2) [4656] B    S  - 513 8  Im   G5 V           
1135 Tsuda                CAB458B-7 Fl Ni                     {-2}   (940-2) [239A] B    S  - 413 8  Im   G0 V           
1136 Erfurt               C200415-B Va Ni                     {+0}   (F31+1) [346C] B    -  - 424 8  Im   K5 V           
1137 Whirl                B7B4855-D Fl Ph                     {+2}   (D7A+1) [BA3F] eB   S  - 413 8  Im   G5 V           
1201 Nalut                C9A2765-6 Fl He                     {-1}   (765+1) [A6A5] B    -  - 414 9  Im   F0 V           
1209 Lianzhou             C7B2512-8 Fl He Ni                  {-2}   (844+1) [2336] B    -  - 804 8  Im   K0 V           
1211 Media                B51077A-C Na Pi                     {+2}   (766-4) [595B] DB   -  - 503 7  Im   M0 V           
1212 Bauta                C200535-9 Va Ni                     {-1}   (F43+1) [6435] B    -  - 205 7  Im   M0 V           
1213 Ha Long              B5A57A6-9 Fl                        {+1}   (F68+3) [685B] B    -  - 715 8  Im   M0 V           
1218 Morgantown           B20068B-A Va Ni Na                  {+1}   (A57+2) [374E] B    S  - 604 6  Im   M5 V           
1221 Antigonish           C200512-9 Va Ni                     {-1}   (744+2) [544A] B    S  - 900 3  Im   F0 V F5 V      
1223 Reggio Emilia        C9A5421-6 Fl Ni                     {-2}   (630+3) [4259] B    S  - 605 8  Im   K0 V           
1225 Despujols            E6A0330-5 He Lo                     {-3}   (421-4) [2131] B    -  - 912 9  Im   A5 V           
1232 Siegsdorf            B200656-E Va Ni Na                  {+1}   (B55-3) [87AC] B    -  - 104 7  Im   M0 V           
1234 Clarkston            D782338-7 Lo                        {-3}   (721+1) [1178] B    -  - 204 8  Im   G0 V           
1301 Oleksandrivsk        B200658-A Va Ni Na                  {+1}   (F53+3) [475B] B    S  - 907 7  Im   w D            
1302 Baishaling           EBB3100-4 Fl Lo                     {-3}   (301+3) [11A4] B    -  - 704 8  Im   K5 V           
1309 Santa Teresinha      C200588-6 Va Ni                     {-2}   (A42-3) [4358] B    -  - 705 6  Im   M5 V           
1312 Lecointe             C7B1646-A Fl He Ni Px               {+0}   (B51+1) [4667] B    -  - 702 8  Im   G0 V           
1316 Silves               C000166-A As Va Lo                  {+0}   (A01-4) [111B] B    -  - 913 7  Im   K5 V           
1325 Chudniv              B8B1656-C Fl He Ni Px               {+1}   (F57+0) [9789] B    -  - 604 8  Im   K5 V           
1326 Manfredonia          C20035A-B Va Lo                     {+0}   (D21-2) [133A] B    -  - 707 8  Im   M0 V           
1328 Hockessin            B8A3785-A Fl                        {+2}   (967+1) [794A] B    S  - 722 9  Im   F0 V           
1329 Brampton             E8A0300-6 He Lo                     {-3}   (421-3) [1145] B    -  - 402 8  Im   K0 V           
1331 Tzecmaun             X200000-0 Va Ba                     {-3}   (900+0) [0000] B    -  R 007 7  Im   w D            
1335 Toots                A200745-D Va Na Pi                  {+2}   (C66+1) [A91E] DB   -  - 404 6  Im   M5 V           
1405 Galliera Veneta      B7A7648-A Fl Ni                     {+1}   (B53-2) [774A] B    N  - 304 8  Im   K5 V           
1408 Kingston             C993541-8 Ni                        {-2}   (940-1) [5368] B    S  - 802 9  Im   F0 V           
1411 Warren               C000335-C As Va Lo                  {+0}   (921+4) [635C] B    -  - 714 8  Im   K5 V           
1414 Huercal-Overa        B4B36BD-9 Fl Ni                     {+0}   (E54+2) [B62A] B    -  - 406 7  Im   w D            
1418 Crao                 A200758-E Va Na Pi                  {+2}   (E66+1) [497E] DB   N  - 504 6  Im   M5 V           
1419 Murchie              A9D1875-D Ph                        {+2}   (B7B-4) [DA3B] eB   S  - 700 3  Im   A0 V A5 V      
1423 Sundaiga             C200404-9 Va Ni                     {-1}   (931+0) [5357] B    -  - 204 6  Im   M5 V           
1425 Guilford             C20038B-A Va Lo                     {+0}   (D21-1) [3369] B    S  - 504 7  Im   M0 V           
1431 Espenak              A200987-C Va Hi Na In               {+4}   (B8C-1) [4D6C] fEB  -  - 514 8  Im   K5 V           
1432 Xiuyanyu             E7A2224-3 Fl He Lo                  {-3}   (811+1) [4126] B    -  - 800 4  Im   G5 V M5 V      
1433 Lenti                D200446-9 Va Ni                     {-2}   (E30-5) [427A] B    S  - 906 7  Im   M5 V           
1434 Setvak               CBB3640-6 Fl Ni                     {-2}   (654-2) [8494] B    S  - 604 8  Im   K0 V           
1437 Bismark              E510167-7 Lo                        {-3}   (801+0) [1168] B    -  - 100 2  Im   w D w D        
1438 Baroy                C6A7534-8 Fl Ni                     {-2}   (644+5) [6368] B    S  - 812 8  Im   K0 V           
1506 Burgos               B6858BB-B Ga Ph Pa Ri               {+3}   (A7C-1) [6B6C] eCcB N  - 112 8  Im   G5 V           
1509 Talne                A200ACB-D Va Hi Na In               {+4}   (A9A+1) [7E5E] fEB  S  - 805 8  Im   K5 V           
1510 Simiti               E200455-7 Va Ni                     {-3}   (C31-3) [4159] B    -  - 205 7  Im   M0 V           
1515 Pauls Valley         C20077A-8 Va Na Pi                  {-1}   (E65+1) [663C] DB   S  - 704 6  Im   M5 V           
1516 Baishan              C200599-A Va Ni                     {+0}   (F43+2) [8538] B    -  - 204 8  Im   G5 V           
1517 Laubach              B00089D-A As Va Ph Na Pi            {+2}   (E7A+1) [8A35] eDB  S  - 225 8  Im   K5 V           
1518 Bambari              EDB3238-8 Fl Lo                     {-3}   (B11+0) [115A] B    -  - 704 8  Im   K0 V           
1525 Brikama              C2008BF-B Va Ph Na Pi               {+1}   (C7A+3) [694A] eDB  -  A 406 7  Im   w D            
1533 Cruzeta              A200689-B Va Ni Na                  {+1}   (B52+2) [B73A] B    -  - 113 5  Im   M0 V M5 V      
1534 Karinthy             A510785-B Na Pi                     {+2}   (76B+2) [A97E] DB   -  - 600 4  Im   M0 V M5 V      
1537 Madler               C8A8476-7 Fl Ni                     {-2}   (733+1) [7275] B    -  - 504 8  Im   K5 V           
1538 Douglas              C200458-9 Va Ni                     {-1}   (D30+0) [4367] B    S  - 905 7  Im   M0 V           
1540 Pelham               C200411-A Va Ni                     {+0}   (F36-3) [1459] B    S  - 825 8  Im   M0 V           
1601 Pourkaviani          C100410-8 Va Ni                     {-2}   (A31-1) [8258] B    S  - 305 6  Im   M5 V           
1602 Joao Lisboa          D20065A-8 Va Ni Na                  {-3}   (F50+2) [8358] B    -  - 104 7  Im   M0 V           
1606 Manzanillo           E200330-7 Va Lo                     {-3}   (821+0) [7157] B    -  - 903 7  Im   M0 V           
1610 Florida Ridge        C5A0556-6 He Ni                     {-2}   (A42-1) [4335] B    S  - 100 3  Im   K5 V M5 V      
1614 Sarospatak           C66637A-4 Ga Lo                     {-2}   (421-4) [5132] B    S  - 515 7  Im   M5 V           
1615 Monroe               C8BA77C-A Fl                        {+1}   (66B+0) [484B] B    -  - 503 7  Im   M0 V           
1618 Bni Khloug           E200165-4 Va Lo                     {-3}   (801+1) [1136] B    -  - 104 7  Im   M5 V           
1620 San Francisco        B9B4640-C Fl Ni                     {+2}   (A56+2) [B85B] B    NS - 703 8  Im   K5 V           
1621 Chicomendez          DCB3424-3 Fl Ni                     {-3}   (731+2) [1134] B    S  - 503 7  Im   K5 V           
1622 Fagnes               DAB5572-5 Fl Ni                     {-3}   (442+2) [A23A] B    -  - 802 6  Im   M5 V           
1625 Europaeus            AAB3874-9 Fl Ph                     {+1}   (577+0) [89A5] eB   -  - 702 8  Im   K0 V           
1626 Leeds                D100338-7 Va Lo                     {-3}   (421-1) [1194] B    S  - 904 6  Im   M5 V           
1627 Fossett              A200987-F Va Hi Na In               {+4}   (A8B-4) [9D4F] fEB  S  - 114 8  Im   G0 V           
1632 Wagman               B7A1673-B Fl He Ni                  {+1}   (753+4) [578E] B    N  - 702 8  Im   G0 V           
1634 Krugersdorp          B6B68A9-7 Fl Ph                     {+0}   (378+1) [6874] eB   N  - 213 8  Im   G0 V           
1635 Mourmelon-le-Grand   D2006A8-6 Va Ni Na                  {-3}   (851-2) [1328] B    -  - 304 6  Im   M5 V           
1636 Baleno               B881656-B Ni Ri                     {+2}   (753-1) [888A] CB   S  - 703 9  Im   F0 V           
1706 Magenta              C200521-9 Va Ni                     {-1}   (740+1) [442A] B    -  - 703 6  Im   M0 V M5 V M5 V 
1709 Pirapozinho          C300244-B Va Lo                     {+0}   (E11+2) [1229] B    -  - 606 7  Im   w D            
1711 Terlingen            C200420-7 Va Ni                     {-2}   (733+2) [523A] B    -  - 804 6  Im   M5 V           
1713 Konopleva            C100534-C Va Ni                     {+0}   (744+3) [555A] B    -  - 304 7  Im   w D            
1718 Passo do Sertao      D200612-6 Va Ni Na                  {-3}   (550+4) [63A1] B    S  - 504 7  Im   M0 V           
1720 Ishim                CCB5566-7 Fl Ni Px                  {-2}   (541+1) [534A] B    S  - 604 8  Im   K0 V           
1722 Chingola             C200734-6 Va Na Pi                  {-1}   (862+0) [667A] DB   -  - 904 7  Im   M0 V           
1726 Bellach              C6A489A-8 Fl Ph                     {-1}   (873+5) [671A] eB   S  - 602 9  Im   G0 V           
1730 Oenone               EAB4259-8 Fl Lo                     {-3}   (C11-1) [2169] B    -  - 603 8  Im   G5 V           
1732 Yanbol               A766984-D Ga Hi Pr                  {+3}   (88A-2) [AC4F] EcB  N  - 302 9  Im   A5 V           
1801 Blumenthal           E773352-6 Lo                        {-3}   (521-4) [1156] B    -  - 104 8  Im   K0 V           
1803 Kunitachi            C9A4514-6 Fl Ni                     {-2}   (A41+0) [4374] B    S  - 904 8  Im   K0 V           
1804 Ridgewood            C200413-6 Va Ni                     {-2}   (830+0) [525A] B    S  - 804 7  Im   M0 V           
1807 Arcos de la Fronte   B7A8664-C Fl Ni                     {+1}   (953+2) [672E] B    -  - 103 8  Im   K0 V           
1809 Hamilton             ACB5897-9 Fl Ph                     {+1}   (F77+4) [7919] eB   N  - 914 8  Im   G5 V           
1812 Akranes              B300699-9 Va Ni Na                  {+0}   (E54-4) [8629] B    -  - 214 8  Im   K0 V           
1813 Chernolesskoye       A5D88A7-C Ph                        {+2}   (67A-1) [7A4C] eB   -  - 300 3  Im   G0 V K5 V      
1817 Nieuwenhagen         A200736-E Va Na Pi                  {+2}   (C68-3) [792F] DB   N  - 825 7  Im   M5 V           
1823 Tenango del Aire     D9A5427-6 Fl Ni Px                  {-3}   (630+1) [8146] B    S  - 423 8  Im   G5 V           
1825 Portimao             C20058B-A Va Ni                     {+0}   (C46+2) [45A5] B    S  - 305 7  Im   M0 V           
1828 Tricomi              D200564-7 Va Ni                     {-3}   (740+0) [6259] B    S  - 906 8  Im   K5 V           
1830 Venissieux           A2007BC-B Va Na Pi                  {+2}   (C67-3) [9969] DB   -  - 605 7  Im   M5 V           
1833 Maron                C7A0663-A He Ni                     {+0}   (A53+0) [465C] B    S  - 210 5  Im   G5 V w D       
1835 Glasgow              A200976-D Va Hi Na In               {+4}   (F8F-2) [8D2B] fEB  -  - 408 8  Im   w D            
1840 Bakum                C7B6510-7 Fl Ni                     {-2}   (840+1) [4368] B    S  - 405 8  Im   K0 V           
1901 Photographica        B200655-E Va Ni Na                  {+1}   (953+3) [971F] B    -  - 304 7  Im   M0 V           
1906 Irig                 E200000-0 Va Ba                     {-3}   (200+1) [0000] B    -  - 004 4  Im   w D w D        
1907 Sobrance             C200300-A Va Lo                     {+0}   (E21-3) [337A] B    -  - 608 8  Im   w D            
1910 Truckee              C6A5114-5 Fl Lo                     {-2}   (B01-1) [4124] B    -  - 705 8  Im   M0 V           
