Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0501	Saint-Louis	A8B39AA-F	Fl Hi In	{+4}	(A8D-2)	[5D5F]	fEB	N	-	400	4	Im	K5 V K5 V
0508	Shunde	C5A0000-0	He Ba	{-2}	(700+4)	[0000]	B	S	-	003	5	Im	M0 V M5 V
0511	Hokule'A	D10047C-7	Va Ni	{-3}	(630-2)	[6173]	B	S	-	800	3	Im	M5 V M5 V
0521	Saldanha	C200423-A	Va Ni	{+0}	(F35+0)	[7457]	B	S	-	308	8	Im	w D
0522	Shigei	C7A2311-8	Fl He Lo	{-2}	(C21-3)	[6167]	B	S	-	903	9	Im	F5 V
0534	Guiraudon	B5B4898-9	Fl Ph	{+1}	(A76-1)	[B94A]	eB	N	-	814	8	Im	K5 V
0535	Nikol'Skij	D100433-A	Va Ni	{-1}	(C35+4)	[633B]	B	S	-	106	8	Im	M0 V
0537	Leiden	A410659-B	Ni Na	{+1}	(F54+3)	[475B]	B	-	-	104	7	Im	M0 V
0538	Djelfa	D200210-6	Va Lo	{-3}	(711-3)	[3156]	B	S	-	305	7	Im	M0 V
0607	Orlande	D100467-9	Va Ni	{-2}	(B32+1)	[327D]	B	-	-	904	8	Im	M0 V
0608	Amelia	C953656-7	Ni Po	{-2}	(650-1)	[6473]	B	-	-	213	9	Im	F0 V
0609	Athshe	D6A1521-3	Fl He Ni	{-3}	(841-3)	[4275]	B	-	-	600	4	Im	K0 V M5 V
0615	Katyusha	B76A665-8	Wa Ni Ri	{+0}	(C56+1)	[7658]	CB	S	-	204	8	Im	K5 V
0616	Dali	D000223-A	As Va Lo	{-1}	(A11-4)	[118A]	B	S	-	115	7	Im	w D
0618	Foucault	C000447-7	As Va Ni	{-2}	(631-5)	[3298]	B	-	-	115	6	Im	M5 V
0620	Sotogahama	B769698-7	Ni Ri	{+1}	(955-2)	[2725]	CB	NS	-	314	8	Im	K0 V
0623	Cedar Rapids	C7A6245-6	Fl Lo	{-2}	(511+1)	[1157]	B	S	-	103	7	Im	M0 V
0626	Kuncham	D100524-8	Va Ni	{-3}	(741+1)	[5249]	B	S	-	901	3	Im	M0 V M5 V
0634	Mogamigawa	C5A3467-9	Fl Ni Px	{-1}	(B31+2)	[4387]	B	S	-	104	8	Im	G0 V
0636	Aaronrozon	E200200-A	Va Lo	{-1}	(E11-1)	[217C]	B	-	-	405	7	Im	M0 V
0639	Tanakadate	B300653-D	Va Ni Na	{+1}	(F54-3)	[973B]	B	-	-	605	8	Im	K5 V
0701	Thusnelda	CCB1204-6	Fl He Lo	{-2}	(611+3)	[2115]	B	S	-	503	8	Im	G5 V
0702	Yauza	A000887-F	As Va Ph Na Pi	{+2}	(C77+2)	[7A4E]	eDB	-	-	615	8	Im	M0 V
0703	Diehl	AAB17A7-E	Fl He	{+2}	(969+1)	[599C]	B	N	-	503	9	Im	F0 V
0705	Matthew	D410514-6	Ni	{-3}	(642+4)	[7246]	B	S	-	704	7	Im	K5 V
0709	Bappu	C864402-8	Ni Pa	{-2}	(430+2)	[1258]	cB	S	-	100	3	Im	K0 V K5 V
0711	Kaluga	BAB2643-9	Fl He Ni	{+0}	(951+1)	[7669]	B	N	-	212	9	Im	F0 V
0714	Fangxing	ABB1863-B	Fl He Ph	{+2}	(579+3)	[BA38]	eB	-	-	303	8	Im	K5 V
0721	Kuprin	E5B3223-8	Fl Lo	{-3}	(B11+1)	[2115]	B	-	-	404	7	Im	M0 V
0725	Viete	A9A5666-D	Fl Ni Px	{+1}	(A57-5)	[575D]	B	N	-	205	7	Im	M5 V
0728	Alkimos	A5A09C7-C	He Hi In	{+4}	(A8F+2)	[7D89]	fEB	N	-	803	8	Im	G0 V
0729	Alvare	C6A6578-6	Fl Ni	{-2}	(940-2)	[6333]	B	-	-	810	4	Im	G0 III M5 III
0733	Teckman	B5A1787-B	Fl He	{+2}	(566-2)	[892D]	B	-	-	500	4	Im	K5 V K5 V
0737	Federer	C969324-5	Lo	{-2}	(821-2)	[3166]	B	-	-	113	8	Im	G5 V
0738	Nealwadhwa	C5B2210-8	Fl He Lo	{-2}	(411-2)	[1146]	B	-	-	602	7	Im	K5 V
0801	Cuney	B000844-A	As Va Ph Na Pi	{+2}	(B79-1)	[5A3B]	eDB	S	-	913	8	Im	K5 V
0802	Shapiro	A867785-A	Ga Ag Ri	{+5}	(86B-1)	[5C5B]	fCB	NS	-	911	9	Im	F0 V
0807	Peaker	D100442-8	Va Ni	{-3}	(A30-1)	[8154]	B	S	-	605	8	Im	M0 V
0808	Sydney	B300766-D	Va Na Pi	{+2}	(B6D-3)	[B91E]	DB	-	-	505	8	Im	M0 V
0809	Melpomene	A8819D8-A	Hi Pr	{+4}	(88A-2)	[BD3A]	fEcB	NS	-	300	3	Im	G5 V w D
0812	Aga	C4A1437-8	Fl He Ni Px	{-2}	(B32-2)	[1267]	B	-	-	604	7	Im	M0 V
0815	Minoruoda	E100110-5	Va Lo	{-3}	(801+2)	[1153]	B	-	-	606	8	Im	K5 V
0816	Campestris	A1008AA-F	Va Ph Na Pi	{+2}	(E75+0)	[BA9D]	eDB	-	-	306	8	Im	K5 V
0817	Feijunlong	D200200-6	Va Lo	{-3}	(911+1)	[1155]	B	-	-	204	6	Im	M5 V
0818	Saint Paul	B30086B-8	Va Ph Na Pi	{+0}	(D74+3)	[3856]	eDB	N	-	803	8	Im	K5 V
0819	Elpis	B410878-C	Ph Na Pi	{+2}	(B79+3)	[9A28]	eDB	-	-	201	4	Im	M0 V M5 V
0820	Gunnarsson	C843626-9	Ni Po	{-1}	(D53-1)	[659A]	B	S	-	113	9	Im	F5 V
0821	Shlon	C100346-7	Va Lo	{-2}	(721-1)	[3148]	B	S	-	103	6	Im	M5 V
0823	Abderhalden	D9A1541-8	Fl He Ni	{-3}	(B40+5)	[7289]	B	S	-	613	7	Im	K5 V
0826	Belling	BCB479C-A	Fl	{+2}	(867-1)	[792A]	B	-	-	204	8	Im	G5 V
0828	Balbastre	D4A3459-6	Fl Ni Px	{-3}	(930+2)	[3144]	B	S	-	106	7	Im	M5 V
0832	Margalida	C200547-6	Va Ni	{-2}	(742-2)	[7318]	B	S	-	105	7	Im	M0 V
0834	Etheridge	CFB4324-7	Fl Lo	{-2}	(621+0)	[1137]	B	-	-	502	8	Im	G5 V
0840	Compassion	C6A4456-7	Fl Ni Px	{-2}	(334+4)	[6287]	B	S	-	313	8	Im	G0 V
0901	Marcelle	A1006AC-C	Va Ni Na	{+1}	(957+2)	[671C]	B	N	-	513	7	Im	M0 V
0905	Watsonia	D8A7573-5	Fl Ni	{-3}	(943+1)	[924A]	B	S	-	604	7	Im	M0 V
0907	Bologna	A866894-8	Ga Ph Pa Ri	{+1}	(877+1)	[8964]	eCcB	S	-	301	5	Im	K5 V M5 V
0909	Rollandia	C00068A-A	As Va Ni Na	{+0}	(E53-1)	[A63D]	B	-	-	812	5	Im	M0 V M5 V
0919	Veralynn	E5A6411-5	Fl Ni	{-3}	(630+4)	[1196]	B	-	-	804	6	Im	M5 V
0920	Tinya	B8A568A-B	Fl Ni	{+1}	(753-1)	[977D]	B	-	-	423	9	Im	F5 V
0921	Vaughan	B4109C7-A	Hi Na In	{+4}	(787-4)	[9D78]	fEB	S	-	605	8	Im	M0 V
0922	Zalgiris	C747458-6	Ni Pa	{-2}	(C30-4)	[7251]	cB	-	-	603	8	Im	K0 V
0924	Illyria	C6A6587-6	Fl Ni	{-2}	(740+3)	[7327]	B	-	-	311	6	Im	M5 V w D w D
0928	Mikkola	B6539CB-8	Hi Po	{+1}	(F88+4)	[BA65]	EB	N	-	804	8	Im	G5 V
0935	Elysia	B200776-9	Va Na Pi	{+1}	(964+1)	[786B]	DB	-	-	504	4	Im	w D w D
0938	Longmire	A8C2974-B	Fl He Hi In	{+4}	(98A-1)	[BD1F]	fEB	-	-	113	9	Im	F0 V
1003	Hartmut	D100245-A	Va Lo	{-1}	(A11-2)	[116A]	B	S	-	705	7	Im	M0 V
1006	Santagata	C100200-9	Va Lo	{-1}	(D11+2)	[117B]	B	S	-	104	6	Im	M5 V
1010	Molidarus	C5A4512-7	Fl Ni	{-2}	(440+0)	[43A5]	B	-	-	303	9	Im	F5 V
1013	Tuthmosis	A6A98B9-D	Fl Ph	{+3}	(E7E+5)	[5B7E]	eB	NS	-	414	7	Im	M0 V
1014	Yoshitomi	C5A8523-7	Fl Ni	{-2}	(540-2)	[5354]	B	S	-	903	9	Im	F0 V
1019	Ichiro	C300666-9	Va Ni Na	{-1}	(D50-4)	[3556]	B	S	-	903	7	Im	M0 V
1023	Gogol	B3008CE-A	Va Ph Na Pi	{+2}	(97A+1)	[BA17]	eDB	-	A	802	4	Im	M0 V M5 V
1025	Theodora	E000000-0	As Va Ba	{-3}	(400-1)	[0000]	B	-	-	013	8	Im	K5 V
1027	Arkesilaos	D000537-8	As Va Ni	{-3}	(A40-1)	[2253]	B	S	-	322	9	Im	F0 V
1028	Plovdiv	E000200-6	As Va Lo	{-3}	(811-1)	[3149]	B	-	-	324	8	Im	G5 V
1029	Boznemcova	D200585-8	Va Ni	{-3}	(A43-1)	[3257]	B	S	-	804	7	Im	K5 V
1033	Gustavbrom	C200778-7	Va Na Pi	{-1}	(368+1)	[2612]	DB	-	-	308	8	Im	w D
1034	Berenyi	C6A6533-6	Fl Ni	{-2}	(740-1)	[A355]	B	-	-	123	9	Im	F5 V
1039	Giovanni	E100476-6	Va Ni	{-3}	(C33+4)	[3144]	B	-	-	600	4	Im	G0 V G5 V
1040	Fukusaki	C5B0699-A	He Ni	{+0}	(D53-1)	[8627]	B	S	-	510	4	Im	K5 V w D
1105	Alvsjo	X300113-2	Va Lo	{-3}	(601-4)	[2143]	B	-	R	203	4	Im	w D w D
1108	Ogawa	B410888-B	Ph Na Pi	{+2}	(A7E+3)	[BA66]	eDB	-	-	104	7	Im	M0 V
1111	Wenyi	B867756-7	Ga Ag Ri	{+2}	(369-1)	[4987]	CB	-	-	803	8	Im	K0 V
1113	Carmagnola	C100000-0	Va Ba	{-2}	(700-2)	[0000]	B	S	-	014	7	Im	M5 V
1114	Fresno	ACB5865-D	Fl Ph	{+2}	(37A+2)	[8A3B]	eB	N	-	110	8	Im	M0 III
1118	Geneparker	C100346-A	Va Lo	{+0}	(E21-2)	[536C]	B	S	-	304	6	Im	M5 V
1119	Meistas	B7A0694-8	He Ni	{-1}	(A54+2)	[4555]	B	S	-	503	8	Im	G5 V
1120	Eri	C20058B-8	Va Ni	{-2}	(F40-2)	[239B]	B	S	-	407	7	Im	w D
1126	Dalera	C100415-C	Va Ni	{+0}	(F31+1)	[346D]	B	-	-	406	8	Im	M0 V
1132	Endicott	B8A4855-D	Fl Ph	{+2}	(D7A+1)	[BA3F]	eB	S	-	413	8	Im	G5 V
1135	Nanten	C5A8765-6	Fl	{-1}	(765+1)	[A6A5]	B	-	-	413	8	Im	G0 V
1136	Lincoln	CBB2512-8	Fl He Ni	{-2}	(A44+1)	[2336]	B	-	-	824	8	Im	K5 V
1137	Londontario	BCB477A-C	Fl	{+2}	(866-4)	[595B]	B	-	-	513	8	Im	G5 V
1201	Porta	D9A2488-7	Fl He Ni Px	{-3}	(830-2)	[117A]	B	-	-	914	9	Im	F0 V
1209	Manu	C5B85AA-9	Fl Ni	{-1}	(E40+0)	[7469]	B	S	-	404	8	Im	K0 V
1211	Ritina	A4107A7-E	Na Pi	{+2}	(D69+0)	[795F]	DB	-	-	503	7	Im	M0 V
1212	Neumann	C10059B-8	Va Ni	{-2}	(B43+1)	[238A]	B	S	-	405	7	Im	M0 V
1213	Jenik	A5A5987-B	Fl Hi In	{+5}	(D8C+2)	[9EA9]	fEB	NS	-	315	8	Im	M0 V
1218	Levi	C9B6440-7	Fl Ni	{-2}	(430-1)	[1226]	B	-	-	504	6	Im	M5 V
1221	Knutsson	C410110-8	Lo	{-2}	(901+5)	[1154]	B	-	-	700	3	Im	F0 V F5 V
1223	Carlwirtz	C300227-6	Va Lo	{-2}	(C11-4)	[3175]	B	-	-	205	8	Im	K0 V
1225	Donn	B6A09CD-C	He Hi In	{+4}	(B8B+0)	[7D88]	fEB	-	-	412	9	Im	A5 V
1232	Tsereteli	C9A5685-6	Fl Ni	{-2}	(350+3)	[44A6]	B	-	-	804	7	Im	M0 V
1234	Boroski	A78287A-C	Ph Ri	{+3}	(B79+2)	[5B4C]	eCB	-	-	404	8	Im	G0 V
1301	Kordula	C200486-B	Va Ni	{+0}	(F34-1)	[543C]	B	-	-	807	7	Im	w D
1302	Teller	D7A4467-5	Fl Ni Px	{-3}	(530+0)	[1166]	B	-	-	204	8	Im	K5 V
1309	Szeged	B1009EE-F	Va Hi Na In	{+4}	(F8E-3)	[AD4F]	fEB	-	A	705	6	Im	M5 V
1312	Komaki	E6B5100-7	Fl Lo	{-3}	(801+2)	[4188]	B	-	-	502	8	Im	G0 V
1316	Hermine	C300102-8	Va Lo	{-2}	(B01-1)	[116A]	B	-	-	213	7	Im	K5 V
1325	Centenaria	C300620-7	Va Ni Na	{-2}	(451-2)	[7412]	B	S	-	904	8	Im	K5 V
1326	Hinn	E200365-9	Va Lo	{-2}	(E21+3)	[8127]	B	-	-	307	8	Im	M0 V
1328	Turgon	E8A3000-0	Fl Ba	{-3}	(800+1)	[0000]	B	-	-	022	9	Im	F0 V
1329	Octavia	C6A3565-9	Fl Ni	{-1}	(A45-2)	[4495]	B	S	-	502	8	Im	K0 V
1331	Kaminokawa	C200445-A	Va Ni	{+0}	(B32+0)	[146B]	B	S	-	707	7	Im	w D
1335	Bleustein	C100565-C	Va Ni	{+0}	(C45-1)	[955D]	B	-	-	104	6	Im	M5 V
1405	Bryan	D410463-4	Ni	{-3}	(630-3)	[2187]	B	S	-	504	8	Im	K5 V
1408	Hakuhou	E993225-2	Lo	{-3}	(511+3)	[6142]	B	-	-	702	9	Im	F0 V
1411	Hangzhou	ACB4641-9	Fl Ni	{+1}	(E56-4)	[A737]	B	NS	-	114	8	Im	K5 V
1414	Sviridov	A4B3687-D	Fl Ni Px	{+1}	(F57-3)	[37AF]	B	N	-	906	7	Im	w D
1418	Buguma	B300612-B	Va Ni Na	{+1}	(B54-3)	[674C]	B	-	-	404	6	Im	M5 V
1419	Puntel	C9D1114-8	Lo	{-2}	(701-2)	[2177]	B	-	-	200	3	Im	A0 V A5 V
1423	Rocca	B100686-9	Va Ni Na	{+0}	(D55-1)	[7659]	B	-	-	704	6	Im	M5 V
1425	Leibacher	A200755-E	Va Na Pi	{+2}	(C6A-1)	[694C]	DB	-	-	204	7	Im	M0 V
1431	Nachikatsuura	D200200-5	Va Lo	{-3}	(A11+4)	[4119]	B	S	-	114	8	Im	K5 V
1432	Perepadin	B6A088B-C	He Ph	{+2}	(A78-3)	[9A2B]	eB	-	-	300	4	Im	G5 V M5 V
1433	Surtris	C100427-8	Va Ni	{-2}	(D34+0)	[1288]	B	-	-	206	7	Im	M5 V
1434	Mamontov	ACB77CC-C	Fl	{+2}	(B67-1)	[793B]	B	-	-	204	8	Im	K0 V
1437	Trigo	E5B0430-8	He Ni	{-3}	(831+4)	[6178]	B	-	-	800	2	Im	w D w D
1438	Sunkel	A9A079B-B	He	{+2}	(A6A+4)	[591B]	B	-	-	712	8	Im	K0 V
1506	Gabes	B8A4754-C	Fl	{+2}	(96C+0)	[697F]	B	S	-	712	8	Im	G5 V
1509	Ausonia	B200868-C	Va Ph Na Pi	{+2}	(C7A-1)	[7A8D]	eDB	S	-	505	8	Im	K5 V
1510	Lieske	B20089B-C	Va Ph Na Pi	{+3}	(77D+0)	[9B2F]	eDB	NS	-	405	7	Im	M0 V
1515	Kazakov	B1006A9-E	Va Ni Na	{+1}	(E57-3)	[87AF]	B	N	-	304	6	Im	M5 V
1516	Von Liebig	BCB3876-A	Fl Ph	{+2}	(C74-3)	[7AAC]	eB	N	-	704	8	Im	G5 V
1517	Simonek	C410332-7	Lo	{-2}	(921+1)	[4129]	B	-	-	825	8	Im	K5 V
1518	Clivia	C6A2777-5	Fl He	{-1}	(667+0)	[A644]	B	S	-	604	8	Im	K0 V
1525	Erigone	B20088B-C	Va Ph Na Pi	{+2}	(C74+0)	[7A6D]	eDB	-	-	606	7	Im	w D
1533	Linfred	C8A6444-9	Fl Ni	{-1}	(E35-5)	[335A]	B	-	-	713	5	Im	M0 V M5 V
1534	Pathall	A7A6978-B	Fl Hi In	{+4}	(88D-3)	[9D19]	fEB	N	-	600	4	Im	M0 V M5 V
1537	Sasaguri	C100449-7	Va Ni	{-2}	(C30+0)	[927A]	B	-	-	404	8	Im	K5 V
1538	Brunk	C200777-8	Va Na Pi	{-1}	(A66-1)	[864A]	DB	-	-	505	7	Im	M0 V
1540	Leonidas	A0006BE-C	As Va Ni Na	{+1}	(E56+0)	[376C]	B	N	-	125	8	Im	M0 V
1601	Fedotov	E100000-0	Va Ba	{-3}	(500-1)	[0000]	B	-	-	005	6	Im	M5 V
1602	Dallolmo	C5A0531-5	He Ni	{-2}	(941+3)	[5397]	B	-	-	104	7	Im	M0 V
1606	Moisseiev	B300743-C	Va Na Pi	{+2}	(C65+4)	[493A]	DB	-	-	803	7	Im	M0 V
1610	Thyra	C5A0678-5	He Ni	{-2}	(751+2)	[7467]	B	S	-	800	3	Im	K5 V M5 V
1614	Gmunden	C666146-9	Ga Lo	{-1}	(D01-1)	[116B]	B	-	-	415	7	Im	M5 V
1615	Condorcet	C7A8558-8	Fl Ni	{-2}	(741+0)	[335B]	B	S	-	903	7	Im	M0 V
1618	Grimmett	C200541-7	Va Ni	{-2}	(741+5)	[7367]	B	-	-	204	7	Im	M5 V
1620	Keisaku	A5B0851-A	He Ph	{+2}	(979+0)	[DA1A]	eB	N	-	303	8	Im	K5 V
1621	Bloxwich	B100999-F	Va Hi Na In	{+4}	(C88-1)	[5D9C]	fEB	S	-	303	7	Im	K5 V
1622	Caravelli	A7B8987-E	Fl Hi In	{+4}	(78B-4)	[9D4F]	fEB	S	-	102	6	Im	M5 V
1625	Magnolia	BAB3673-B	Fl Ni	{+1}	(753+4)	[578E]	B	N	-	702	8	Im	K0 V
1626	Loharu	B1008A9-9	Va Ph Na Pi	{+1}	(779+1)	[6976]	eDB	N	-	204	6	Im	M5 V
1627	Stovall	B7A4ABC-F	Fl Hi In	{+4}	(A9D-1)	[8E1C]	fEB	-	-	314	8	Im	G0 V
1632	Svoboda	C7A1547-7	Fl He Ni Px	{-2}	(241+2)	[7367]	B	-	-	702	8	Im	G0 V
1634	Sartarix	CCB0423-5	He Ni	{-2}	(430+1)	[4228]	B	S	-	713	8	Im	G0 V
1635	Nanbu	CAB6416-7	Fl Ni	{-2}	(A32-1)	[1233]	B	-	-	604	6	Im	M5 V
1636	Lixiaohua	AEB3886-9	Fl Ph	{+1}	(978+4)	[A91C]	eB	N	-	503	9	Im	F0 V
1706	Turnera	D410567-4	Ni	{-3}	(A41+0)	[5235]	B	S	-	403	6	Im	M0 V M5 V M5 V
1709	Briegel	C300834-8	Va Ph Na Pi	{-1}	(B77+4)	[8756]	eDB	-	-	906	7	Im	w D
1711	Kotel	B100654-E	Va Ni Na	{+1}	(954+1)	[577C]	B	S	-	604	6	Im	M5 V
1713	Karajan	C100734-7	Va Na Pi	{-1}	(862+0)	[667B]	DB	-	-	904	7	Im	w D
1718	Tlanus	CAB4787-8	Fl	{-1}	(86B-2)	[3674]	B	-	-	204	7	Im	M0 V
1720	Valpertile	C6A0536-9	He Ni	{-1}	(F44-2)	[844C]	B	-	-	804	8	Im	K0 V
1722	Partridge	C4B5564-A	Fl Ni	{+0}	(946-2)	[5568]	B	S	-	304	7	Im	M0 V
1726	Shinkamigoto	DCB3200-7	Fl Lo	{-3}	(311-2)	[2155]	B	-	-	102	9	Im	G0 V
1730	Azare	C300477-A	Va Ni	{+0}	(A33-1)	[643C]	B	S	-	703	8	Im	G5 V
1732	Inoueta	ADB2743-9	Fl	{+1}	(B64+1)	[7869]	B	-	-	102	9	Im	A5 V
1801	Addis Ababa	B773664-B	Ni	{+1}	(A53+2)	[672D]	B	-	-	104	8	Im	K0 V
1803	Kaasa	A9A1897-9	Fl He Ph	{+1}	(F77+4)	[7919]	eB	N	-	904	8	Im	K0 V
1804	Papaloizou	C200556-9	Va Ni	{-1}	(A40+2)	[245C]	B	-	-	704	7	Im	M0 V
1807	Kubisova	CFB5121-6	Fl Lo	{-2}	(701-2)	[5174]	B	S	-	503	8	Im	K0 V
1809	Darcy	ACB6756-A	Fl	{+2}	(C66+1)	[7959]	B	N	-	214	8	Im	G5 V
1812	Tsubata	B0006BD-9	As Va Ni Na	{+1}	(A55+4)	[575B]	B	NS	-	414	8	Im	K0 V
1813	Brecht	C973477-9	Ni	{-1}	(931+3)	[4319]	B	-	-	700	3	Im	G0 V K5 V
1817	Crivello	B000675-C	As Va Ni Na	{+2}	(E55+0)	[785E]	B	NS	-	825	7	Im	M5 V
1823	Chkalov	A0007BC-C	As Va Na Pi	{+2}	(C67-3)	[996A]	DB	-	-	623	8	Im	G5 V
1825	Melete	C100663-C	Va Ni Na	{+0}	(E53+0)	[465E]	B	S	-	205	7	Im	M0 V
1828	Ortiz	A200976-D	Va Hi Na In	{+4}	(D8F-2)	[8D2B]	fEB	-	-	406	8	Im	K5 V
1830	Toyohiro	C7A7241-8	Fl Lo	{-2}	(D11-2)	[2169]	B	S	-	605	7	Im	M5 V
1833	Gaudium	A300766-F	Va Na Pi	{+2}	(66A+1)	[895F]	DB	-	-	810	5	Im	G5 V w D
1835	Wilkens	D200467-4	Va Ni	{-3}	(730+1)	[5122]	B	-	-	808	8	Im	w D
1840	Nemunas	B7A09BA-A	He Hi In	{+5}	(78F+3)	[9E1A]	fEB	NS	-	405	8	Im	K0 V
1901	Corot	A410775-F	Na Pi	{+2}	(D68+0)	[593F]	DB	-	-	404	7	Im	M0 V
1906	Takabatake	C8B0477-9	He Ni	{-1}	(631-5)	[136E]	B	S	-	104	4	Im	w D w D
1907	Shoin	C200223-6	Va Lo	{-2}	(711+1)	[1126]	B	S	-	108	8	Im	w D
1910	Buttani	C6A5454-8	Fl Ni	{-2}	(D31+0)	[9295]	B	-	-	505	8	Im	M0 V
1913	Atami	CAB2300-A	Fl He Lo	{+0}	(F21-3)	[634E]	B	-	-	723	8	Im	K0 V
