Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	
1003	Nakagawa	CD007A8-8	S	Va Na Pi	-	1-99-99	Im	M0 V M5 V	{-1}	(063+1)	[9679]	DB	7	
1013	Shirosato	CD0037A-8	S	Va Lo	-	2-99-99	Im	M5 V M5 V	{-2}	(021-4)	[8186]	B	6	
1029	New Haven	A000885-C	-	As Va Ph Na Pi	-	5-99-99	Im	M5 V w D	{+2}	(077+1)	[6A48]	eDB	5	
1119	Onga	ED0059B-8	-	Va Ni	-	2-99-99	Im	K5 V w D	{-3}	(040+1)	[5265]	B	7	
1134	Honbetsu	AD00786-9	NS	Va Na Pi	-	2-99-99	Im	K0 V K5 V	{+2}	(06A-2)	[9938]	DB	7	
1210	Shichikashuku	A000CFF-F	N	As Va Hi Na In	A	3-99-99	Im	w D w D	{+4}	(0BB+2)	[8F6F]	fEB	6	
1219	Kamikawa	CD00100-8	-	Va Lo	-	4-99-99	Im	G0 V M5 V	{-2}	(001+4)	[1188]	B	7	
1305	Lincoln	ED00443-8	-	Va Ni	-	9-99-99	Im	G5 V G5 V	{-3}	(030-1)	[515D]	B	7	
1323	Yamada	CD00652-8	-	Va Ni Na	-	5-99-99	Im	K0 V w D	{-2}	(053-3)	[6458]	B	7	
1328	Tunbridge Wells	BD007AD-C	S	Va Na Pi	-	9-99-99	Im	w D w D	{+2}	(064-4)	[993C]	DB	7	
1401	Prince George	CD0048A-7	S	Va Ni	-	8-99-99	Im	G5 V w D	{-2}	(332+2)	[12A4]	B	7	
1515	Halesowen	B00079B-D	-	As Va Na Pi	-	0-99-99	Im	K0 V K5 V	{+2}	(06B+5)	[891F]	DB	7	
1639	Huai'an	BD00744-9	S	Va Na Pi	-	1-99-99	Im	M5 V M5 V	{+1}	(066+2)	[5824]	DB	6	
1733	Nanyang	BD007AB-B	-	Va Na Pi	-	6-99-99	Im	G0 V K5 V	{+2}	(069-2)	[593E]	DB	8	
1909	Si'en	E000533-9	-	As Va Ni	-	1-99-99	Im	M5 V M5 V	{-2}	(043+2)	[4358]	B	5	
1937	Laredo	DD00101-9	-	Va Lo	-	2-99-99	Im	M5 V M5 V	{-2}	(001-1)	[116B]	B	5	
2031	Taiping	AD00676-A	N	Va Ni Na	-	2-99-99	Im	w D w D	{+1}	(052+0)	[573E]	B	6	
2121	Fort Worth	D000257-A	-	As Va Lo	-	9-99-99	Im	M5 V M5 V	{-1}	(011+1)	[3126]	B	5	
2218	Ashford	BD00853-B	-	Va Ph Na Pi	-	2-99-99	Im	M0 V M5 V	{+2}	(078-5)	[7A97]	eDB	7	
2229	Fengzhou	AD00942-F	-	Va Hi Na In	-	6-99-99	Im	K5 V M5 V	{+4}	(08C+0)	[7D5F]	fEB	6	
2406	Matsumae	BD00653-9	N	Va Ni Na	-	9-99-99	Im	K0 V K5 V	{+0}	(053+4)	[6638]	B	7	
2429	Wuding	AD00767-A	N	Va Na Pi	-	0-99-99	Im	G0 V w D	{+2}	(069-2)	[A95B]	DB	7	
2524	Cape Coral	DD00467-7	-	Va Ni	-	0-99-99	Im	G5 V M5 V	{-3}	(B31+2)	[3158]	B	7	
2623	Nan'an	ED00100-4	-	Va Lo	-	8-99-99	Im	G0 V G5 V	{-3}	(A01+4)	[4145]	B	7	
2706	Fremont	D00057A-A	S	As Va Ni	-	4-99-99	Im	K5 V w D	{-1}	(045+0)	[1499]	B	7	
2720	St. John's	B000656-F	-	As Va Ni Na	-	9-99-99	Im	w D w D	{+1}	(053+1)	[577F]	B	6	
2732	Kuizhou	ED00000-0	-	Va Ba	-	0-99-99	Im	K5 V M5 V	{-3}	(800-2)	[0000]	B	7	
2802	Shiriuchi	BD00988-B	N	Va Hi Na In	-	5-99-99	Im	M5 V M5 V	{+4}	(088+2)	[AD7A]	fEB	5	
2828	Hemel	CD00000-0	-	Va Ba	-	0-99-99	Im	M5 V M5 V	{-2}	(700+0)	[0000]	B	6	
2908	Oto	DD00598-4	-	Va Ni	-	0-99-99	Im	M0 V M5 V	{-3}	(342-2)	[4282]	B	6	
3120	Fujikawa	DD00300-5	S	Va Lo	-	3-99-99	Im	M5 V M5 V	{-3}	(921-2)	[6141]	B	5	
3215	Philadelphia	ED00499-5	-	Va Ni	-	6-99-99	Im	K5 V M5 V	{-3}	(730-1)	[6165]	B	7	
