Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0406	Chinaro	CBB5324-9	Fl Lo	{-1}	(B21+1)	[1298]	B	S	-	904	8	Im	G5 V
0408	Alcathous	DFB6412-8	Fl Ni	{-3}	(D30+2)	[8169]	B	S	-	214	8	Im	G0 V
0410	Piaf	D65A344-7	Wa Lo	{-3}	(621+4)	[1175]	B	S	-	413	7	Im	M0 V
0414	Marcallen	A000A7C-F	As Va Hi Na In	{+4}	(B9C-1)	[9E1F]	fEB	N	-	613	6	Im	M5 V
0415	Tete	C100200-C	Va Lo	{+0}	(A11+3)	[123E]	B	-	-	802	4	Im	M5 V M5 V
0419	Brontosaurus	C000532-8	As Va Ni	{-2}	(740+2)	[8325]	B	-	-	613	9	Im	F0 V
0420	Beljawskya	C100551-B	Va Ni	{+0}	(E45+2)	[5559]	B	-	-	505	7	Im	M5 V
0424	Binoche	C5A0342-5	He Lo	{-2}	(721-1)	[1185]	B	-	-	804	7	Im	K5 V
0426	Aurelius	C5A0242-9	He Lo	{-1}	(611+3)	[115D]	B	-	-	910	3	Im	K5 V K5 V
0428	Pesta	ADB0758-A		{+2}	(A64+4)	[B92C]	B	-	-	102	8	Im	G5 V
0429	Ubuntu	E790412-2	De He Ni	{-3}	(930+1)	[7145]	B	-	-	302	9	Im	A5 V
0431	Malythea	C5A5598-6	Fl Ni Px	{-2}	(440+2)	[7377]	B	-	-	305	8	Im	M0 V
0432	Takaji	E100336-7	Va Lo	{-3}	(921+3)	[6158]	B	-	-	700	4	Im	G0 V M5 V
0434	Bohlender	E200104-7	Va Lo	{-3}	(701-1)	[1177]	B	-	-	606	7	Im	w D
0439	Monge	C5A0553-6	He Ni	{-2}	(A43-1)	[1356]	B	-	-	100	3	Im	K5 V K5 V
0501	Funing	C410658-B	Ni Na	{+0}	(C54+0)	[8627]	B	S	-	604	7	Im	M0 V
0503	Sudbury	C100541-B	Va Ni	{+0}	(B41+0)	[8528]	B	-	-	405	7	Im	M5 V
0504	Tainan	ABB0833-C	He Ph	{+2}	(779-2)	[6A9E]	eB	S	-	100	5	Im	K0 V K5 V
0506	Orinoco	B3008C7-8	Va Ph Na Pi	{+0}	(A78-2)	[B898]	eDB	N	-	204	6	Im	M5 V
0510	Xuyi	C300579-8	Va Ni	{-2}	(942-3)	[3345]	B	S	-	703	7	Im	M0 V
0513	Vanavara	B300656-9	Va Ni Na	{+0}	(652-4)	[5625]	B	N	-	300	4	Im	G0 V M5 V
0516	Van Den Eijnde	C7B0000-0	He Ba	{-2}	(600-1)	[0000]	B	-	-	005	5	Im	w D w D
0519	Tetsuma	B6A098A-9	He Hi In	{+3}	(A8C+3)	[AC55]	EB	-	-	203	8	Im	K0 V
0522	Kuromatsunai	D100446-5	Va Ni	{-3}	(933-5)	[3144]	B	-	-	604	7	Im	M0 V
0524	Utrecht	C100455-D	Va Ni	{+0}	(E33-1)	[244F]	B	-	-	904	8	Im	M0 V
0525	Nauheima	CCB15AE-6	Fl He Ni	{-2}	(342+0)	[4377]	B	S	-	903	8	Im	K5 V
0526	Euryalos	A100857-F	Va Ph Na Pi	{+2}	(B75+3)	[BA5A]	eDB	N	-	803	8	Im	M0 V
0529	Alfaterna	E100255-8	Va Lo	{-3}	(D11+1)	[1156]	B	-	-	405	6	Im	M5 V
0530	Anneila	EDB4440-7	Fl Ni	{-3}	(732+2)	[8154]	B	-	-	814	9	Im	F5 V
0532	Tycho Brahe	A6A0778-C	He	{+2}	(A6B+2)	[898D]	B	-	-	503	8	Im	G5 V
0533	Remil	C200455-B	Va Ni	{+0}	(C31+3)	[546B]	B	S	-	707	7	Im	w D
0536	Mcmillan	B300668-A	Va Ni Na	{+2}	(C55-3)	[681B]	B	NS	-	904	8	Im	K5 V
0539	Valusha	CDB4577-A	Fl Ni Px	{+0}	(B43-1)	[7598]	B	S	-	705	8	Im	K0 V
0601	Haupt	A300766-C	Va Na Pi	{+2}	(F64-1)	[996A]	DB	-	-	805	7	Im	M0 V
0603	Alekhin	C5A1433-6	Fl He Ni	{-2}	(A33-3)	[1254]	B	-	-	515	7	Im	M0 V
0604	Makotomasako	B9A4676-B	Fl Ni Px	{+1}	(F57+0)	[678C]	B	S	-	403	8	Im	K0 V
0605	Horrocks	C643110-9	Lo Po	{-1}	(E01+0)	[1145]	B	S	-	804	7	Im	M0 V
0606	Trucpham	B100876-C	Va Ph Na Pi	{+2}	(776+0)	[8A9C]	eDB	-	-	401	3	Im	M5 V M5 V
0608	Preller	A8B188C-9	Fl He Ph	{+1}	(87B-1)	[6968]	eB	-	-	802	5	Im	M0 V w D
0609	Kenzo	DBB4330-5	Fl Lo	{-3}	(921+0)	[3133]	B	-	-	205	8	Im	M0 V
0610	Trudaur	B100889-D	Va Ph Na Pi	{+2}	(879+4)	[9AAF]	eDB	S	-	102	4	Im	M5 V M5 V
0613	Jaucourt	D10088A-6	Va Ph Na Pi	{-2}	(873-2)	[B674]	eDB	S	-	502	3	Im	M5 V M5 V
0614	Ryoma	B7A1620-9	Fl He Ni	{+1}	(B52-3)	[8735]	B	NS	-	213	8	Im	K0 V
0615	Kitahiroshima	D300210-9	Va Lo	{-2}	(F11+0)	[5145]	B	S	-	504	6	Im	M5 V
0616	Abai	C8A5101-8	Fl Lo	{-2}	(B01+1)	[417A]	B	-	-	102	8	Im	G0 V
0621	Al Mansurah	B67586B-B	Ph Pa Pi	{+2}	(574+2)	[5A1F]	eDcB	N	-	803	8	Im	G0 V
0622	Solomon	C200300-7	Va Lo	{-2}	(621-1)	[5125]	B	-	-	608	8	Im	w D
0623	Vossenkuhl	CCB6414-9	Fl Ni	{-1}	(F34+0)	[735A]	B	-	-	504	8	Im	K0 V
0627	Tobe	C3005AC-A	Va Ni	{+0}	(B43-3)	[956C]	B	S	-	303	8	Im	G0 V
0630	Gussalli	C9B7378-7	Fl Lo	{-2}	(421+2)	[2119]	B	-	-	104	7	Im	M0 V
0631	Kutafin	C5A0377-A	He Lo	{+0}	(821+0)	[3339]	B	-	-	404	6	Im	M5 V
0632	Hanggao	E6A3147-4	Fl Lo	{-3}	(801-3)	[1183]	B	-	-	704	8	Im	K5 V
0633	Abdel-Samad	CAB4532-5	Fl Ni	{-2}	(840+2)	[4354]	B	-	-	901	8	Im	K0 V
0634	Susanna	A2009AC-F	Va Hi Na In	{+4}	(78A+0)	[BD6C]	fEB	N	-	704	6	Im	M5 V
0636	Petrpravec	C200246-8	Va Lo	{-2}	(D11-1)	[116C]	B	S	-	203	7	Im	K5 V
0637	Cevenola	A6A57BF-B	Fl	{+2}	(565+4)	[993D]	B	-	A	700	3	Im	K0 V M5 V
0639	Edith	C410577-6	Ni	{-2}	(344-4)	[1336]	B	-	-	601	4	Im	M5 V w D
0701	Masumoto	D8A5114-6	Fl Lo	{-3}	(B01+3)	[4162]	B	-	-	503	7	Im	K5 V
0702	Thousand Oaks	A4106B9-E	Ni Na	{+1}	(F55+0)	[376A]	B	N	-	606	8	Im	M0 V
0705	Fuchs	C000433-C	As Va Ni	{+0}	(935-4)	[546C]	B	S	-	613	8	Im	G0 V
0708	Shenchu	C7B0304-A	He Lo	{+0}	(B21+4)	[136C]	B	-	-	522	8	Im	G0 V
0710	Polonskaya	ACB8847-D	Fl Ph	{+2}	(876+1)	[6A5B]	eB	-	-	304	8	Im	G0 V
0711	Migliardi	C200586-6	Va Ni	{-2}	(540+1)	[6398]	B	S	-	714	9	Im	G0 V
0712	Nishiyama	C89638A-6	Lo	{-2}	(321-4)	[4181]	B	-	-	602	8	Im	G0 V
0714	Culbertson	B100868-E	Va Ph Na Pi	{+3}	(E7C-4)	[7B6B]	eDB	NS	-	604	6	Im	M5 V
0715	Sitnik	C000796-A	As Va Na Pi	{+1}	(968+2)	[C84D]	DB	S	-	620	4	Im	K5 V M5 V
0717	Shustov	B000874-A	As Va Ph Na Pi	{+2}	(A78-2)	[4A4C]	eDB	-	-	520	5	Im	G0 V w D
0719	Galegant	B9B5636-9	Fl Ni Px	{+1}	(B56+3)	[775E]	B	NS	-	305	8	Im	M0 V
0720	Textorisova	BAB5877-A	Fl Ph	{+2}	(F79-1)	[BA3B]	eB	-	-	404	7	Im	K5 V
0724	Weseley	C410435-6	Ni	{-2}	(631+1)	[4212]	B	-	-	904	8	Im	K5 V
0725	Maxwell	B100BCB-F	Va Hi Na In	{+4}	(7AA+1)	[AF1F]	fEB	N	-	303	8	Im	K5 V
0726	Spinoy	B988779-7	Ag Ri	{+3}	(B6A-5)	[8A77]	CB	NS	-	604	8	Im	G0 V
0727	Iga	C20066B-7	Va Ni Na	{-2}	(653+3)	[6487]	B	-	-	508	8	Im	w D
0728	Mannoucyo	C6A5448-9	Fl Ni Px	{-1}	(F35+5)	[339B]	B	S	-	403	7	Im	M0 V
0730	Semery	B858759-7	Ag	{+1}	(769+3)	[8839]	CB	-	-	203	8	Im	G5 V
0731	Margarita	C5A0513-9	He Ni	{-1}	(841+0)	[1496]	B	-	-	803	6	Im	M5 V
0733	Sylvatica	A2009B9-F	Va Hi Na In	{+4}	(98B+0)	[8D4D]	fEB	-	-	101	2	Im	G0 V w D
0738	Orestes	C300577-B	Va Ni	{+0}	(F45-3)	[856D]	B	-	-	314	7	Im	M0 V
0739	Mirotsin	C100527-7	Va Ni	{-2}	(443-3)	[837C]	B	-	-	404	7	Im	M0 V
0801	Ashkinazi	C100466-8	Va Ni	{-2}	(F32+0)	[722D]	B	-	-	405	6	Im	M5 V
0806	Krautter	D9B3631-5	Fl Ni	{-3}	(B53+5)	[A335]	B	S	-	402	9	Im	F0 V
0809	Drejsl	B5A1651-9	Fl He Ni	{+1}	(955-2)	[874C]	B	NS	-	810	5	Im	G0 V G5 V
0810	Philosophia	C100322-A	Va Lo	{+0}	(E21+4)	[434B]	B	-	-	505	8	Im	M0 V
0811	Wysner	B10069A-E	Va Ni Na	{+1}	(855+3)	[47AE]	B	S	-	803	6	Im	M5 V
0812	Somekawa	C510589-A	Ni	{+0}	(D44+2)	[6547]	B	S	-	615	8	Im	G0 V
0813	Myrrha	C8B0456-B	He Ni	{+0}	(F35+3)	[546D]	B	-	-	907	8	Im	w D
0814	Pavlov	B6958A9-A	Ph Pa Pi	{+2}	(77A-1)	[AAAB]	eDcB	N	-	102	8	Im	G0 V
0816	Annefrank	D300524-5	Va Ni	{-3}	(741-2)	[2223]	B	S	-	302	7	Im	M0 V
0818	Rugby	B410764-B	Na Pi	{+2}	(B69+0)	[A93C]	DB	-	-	703	9	Im	G0 V
0821	Nevskij	B6A5756-C	Fl	{+2}	(B66-1)	[798D]	B	-	-	305	8	Im	M0 V
0822	Yamakita	B861777-7	Ri	{+1}	(568-2)	[682C]	CB	S	-	712	10	Im	A0 V
0823	Persson	A896846-9	Ph Pa Pi	{+1}	(777+0)	[692D]	eDcB	N	-	103	8	Im	K0 V
0824	Masa	C000868-B	As Va Ph Na Pi	{+1}	(F78-1)	[A96A]	eDB	S	-	914	7	Im	M0 V
0825	Korsunia	C200588-7	Va Ni	{-2}	(944-2)	[8346]	B	-	-	216	8	Im	w D
0826	Milwaukee	DFB1266-7	Fl Lo	{-3}	(711+2)	[1185]	B	S	-	700	4	Im	G0 V w D
0829	Lampedusa	E410510-7	Ni	{-3}	(843+5)	[9248]	B	-	-	904	8	Im	G0 V
0830	Fisher	D100269-7	Va Lo	{-3}	(911-4)	[1192]	B	-	-	404	7	Im	M5 V
0833	Tyr	A9B0889-C	He Ph	{+2}	(E7D+4)	[6A9F]	eB	N	-	707	8	Im	w D
0835	Bradfield	EFB0100-4	Lo	{-3}	(B01-1)	[3147]	B	-	-	500	4	Im	A0 V A5 V
0837	Mahakala	E8A6210-7	Fl Lo	{-3}	(A11+5)	[1112]	B	-	-	604	7	Im	M0 V
0838	Kawatana	A4A1978-E	Fl He Hi In	{+4}	(98C+5)	[9D4B]	fEB	-	-	204	7	Im	M5 V
0839	Don	C4A0333-8	He Lo	{-2}	(221-1)	[112B]	B	-	-	600	3	Im	M0 V M5 V
0904	Isseroff	C410520-9	Ni	{-1}	(C43+1)	[4449]	B	-	-	715	8	Im	M0 V
0905	Whitney	E300100-8	Va Lo	{-3}	(E01-1)	[5117]	B	-	-	904	7	Im	M0 V
0908	Audubon	C892412-5	He Ni	{-2}	(B32+2)	[2229]	B	S	-	604	8	Im	K5 V
0910	Nolde	B10099C-C	Va Hi Na In	{+4}	(B8C+2)	[BD7F]	fEB	-	-	804	7	Im	M0 V
0913	Otukyo	DAB3400-5	Fl Ni	{-3}	(530-1)	[1115]	B	S	-	311	9	Im	F0 V
0914	Susalis	CDB5422-6	Fl Ni	{-2}	(730+4)	[22A8]	B	-	-	500	5	Im	G0 V G5 V
0915	Kaverznev	C000200-D	As Va Lo	{+0}	(C11-3)	[428F]	B	-	-	413	6	Im	M5 V
0920	Deustua	C10058A-A	Va Ni	{+0}	(A44-3)	[55AB]	B	-	-	104	6	Im	M5 V
0923	Sophrosyne	C5A2201-6	Fl He Lo	{-2}	(911+1)	[1187]	B	-	-	503	8	Im	K5 V
0924	Albeniz	C100664-C	Va Ni Na	{+0}	(D56-1)	[B63D]	B	S	-	605	7	Im	K5 V
0925	Quenquar	C100431-9	Va Ni	{-1}	(933-1)	[3379]	B	S	-	304	6	Im	M5 V
0927	Georgbohm	E756256-7	Ga Lo	{-3}	(511+5)	[1156]	B	-	-	102	9	Im	F0 V
0928	Moundou	A6A29BC-F	Fl He Hi In	{+4}	(88A-2)	[AD8B]	fEB	-	-	703	9	Im	F0 V
0929	Arago	C6A4523-6	Fl Ni	{-2}	(543+3)	[2363]	B	-	-	901	4	Im	K5 V w D
0930	Tirion	A100643-F	Va Ni Na	{+1}	(D54-3)	[772E]	B	-	-	801	3	Im	M5 V M5 V
0933	Aldo	C200542-6	Va Ni	{-2}	(740-1)	[1343]	B	-	-	205	7	Im	M0 V
0934	Krivan	A6B09CD-C	He Hi In	{+4}	(68C+1)	[BD9D]	fEB	S	-	904	8	Im	K5 V
0936	Walsall	E8B7210-8	Fl Lo	{-3}	(F11-5)	[5158]	B	-	-	704	7	Im	M0 V
0940	Iguchi	C886410-7	Ga Ni Pa	{-2}	(933-1)	[4269]	cB	-	-	413	8	Im	G0 V
1004	Angrilli	C961564-7	Ni Pr	{-2}	(540+3)	[6346]	cB	-	-	805	8	Im	G5 V
1007	Gerd	CCB7567-9	Fl Ni	{-1}	(C41-1)	[3467]	B	S	-	803	8	Im	K0 V
1008	Sorachi	C200147-8	Va Lo	{-2}	(E01+0)	[1136]	B	S	-	102	7	Im	K5 V
1009	Knoxville	ACB8673-C	Fl Ni	{+1}	(C53+4)	[A76D]	B	-	-	914	8	Im	M0 V
1010	Rosalia	A100789-D	Va Na Pi	{+2}	(C67+0)	[894E]	DB	N	-	504	8	Im	K0 V
1015	Miyama	C7C7243-7	Fl Lo	{-2}	(411-1)	[3153]	B	-	-	703	8	Im	G5 V
1016	Verbiest	CFB8551-6	Fl Ni	{-2}	(440-1)	[834A]	B	-	-	704	8	Im	K0 V
1017	Lichinga	B100656-B	Va Ni Na	{+1}	(952+2)	[573E]	B	S	-	504	7	Im	M5 V
1019	Tana	C5A156A-A	Fl He Ni	{+0}	(A41+3)	[251A]	B	S	-	804	6	Im	M5 V
1020	Despiau	A3009A9-E	Va Hi Na In	{+4}	(38A+3)	[BD4F]	fEB	N	-	800	3	Im	G0 V G5 V
1026	Smithsonian	C100352-D	Va Lo	{+0}	(D21+0)	[431E]	B	-	-	304	7	Im	M0 V
1028	Ballack	B100786-E	Va Na Pi	{+2}	(C66-4)	[998A]	DB	-	-	405	7	Im	M0 V
1029	Ueta	D410330-8	Lo	{-3}	(721+2)	[316C]	B	-	-	704	7	Im	M0 V
1030	Lalitpatel	D000521-5	As Va Ni	{-3}	(543-1)	[1279]	B	S	-	414	6	Im	M5 V
1031	Theodore	A5A0733-E	He	{+2}	(96A+4)	[699F]	B	-	-	904	8	Im	K5 V
1034	Delahodde	A9B899A-F	Fl Hi In	{+5}	(B8F-1)	[CE3F]	fEB	NS	-	603	8	Im	G5 V
1035	Dolon	B657685-9	Ga Ni Ag	{+1}	(B52-3)	[6779]	CB	-	-	104	7	Im	M0 V
1037	Reto	CCB3534-5	Fl Ni	{-2}	(742-3)	[8335]	B	-	-	205	7	Im	M0 V
1102	O'Dorney	D8A55A7-4	Fl Ni Px	{-3}	(A42+2)	[4237]	B	S	-	804	8	Im	K0 V
1103	Hajdukova	C5A0446-8	He Ni	{-2}	(A33+0)	[8277]	B	S	-	603	8	Im	K5 V
1105	Parijskij	C300310-8	Va Lo	{-2}	(C21-5)	[614B]	B	S	-	305	6	Im	M5 V
1109	Alchata	C000300-9	As Va Lo	{-1}	(C21+4)	[424B]	B	S	-	324	8	Im	K5 V
1110	Gmelin	C100664-9	Va Ni Na	{-1}	(750-4)	[654B]	B	-	-	103	4	Im	M5 V M5 V
1111	Nouda	D982520-2	Ni Pr	{-3}	(842+0)	[A231]	cB	-	-	814	8	Im	G5 V
1112	Vulcano	A00069B-B	As Va Ni Na	{+1}	(F55+0)	[276C]	B	N	-	513	8	Im	K5 V
1113	Merope	C000567-A	As Va Ni	{+0}	(D43-5)	[552C]	B	S	-	714	7	Im	K5 V
1114	Leslie	D100154-8	Va Lo	{-3}	(901+1)	[118A]	B	S	-	602	6	Im	M5 V
1117	Van Rhijn	CAB0668-6	He Ni	{-2}	(A53-2)	[5457]	B	S	-	500	0	Im	F0 V F5 V
1118	Boriszaitsev	C100531-A	Va Ni	{+0}	(D46-4)	[8559]	B	S	-	605	7	Im	M0 V
1119	Cardoen	BEB2973-8	Fl Hi In	{+2}	(A84+0)	[8B45]	EB	-	-	913	9	Im	G0 V
1122	Amydavid	E6B8153-7	Fl Lo	{-3}	(801+4)	[4166]	B	-	-	804	7	Im	M0 V
1123	Alkimos	B3007BF-A	Va Na Pi	{+2}	(F67-1)	[4967]	DB	-	A	606	7	Im	M5 V
1124	Hattori	C100541-7	Va Ni	{-2}	(B41+1)	[735B]	B	S	-	704	6	Im	M5 V
1126	Yorii	C300475-7	Va Ni	{-2}	(831-5)	[8242]	B	-	-	601	4	Im	K5 V M5 V
1127	Plantade	A000888-E	As Va Ph Na Pi	{+2}	(777+2)	[8A2E]	eDB	N	-	714	7	Im	M0 V
1128	Oistrach	B9A36A6-C	Fl Ni Px	{+1}	(A52+5)	[7719]	B	N	-	801	5	Im	K0 V M5 V
1132	Kinoshi	CCB779B-6	Fl	{-1}	(866+3)	[6647]	B	-	-	504	7	Im	M0 V
1133	Alphane	CCB5772-5	Fl	{-1}	(A67+2)	[9654]	B	-	-	413	6	Im	M5 V
1135	Periphas	BCB0642-B	He Ni	{+1}	(D55+5)	[975E]	B	N	-	205	8	Im	K0 V
1136	Draconis	C200541-B	Va Ni	{+0}	(A42+2)	[754E]	B	-	-	807	7	Im	w D
1138	Vektron	C854569-8	Ni Ag	{-1}	(943-5)	[4428]	CB	-	-	502	9	Im	F5 V
1139	Yumeginga	C5A0410-9	He Ni	{-1}	(932+3)	[7358]	B	S	-	110	4	Im	K0 V M5 V
1140	Vaughan	E100331-A	Va Lo	{-1}	(F21+0)	[326A]	B	-	-	315	8	Im	M0 V
1201	Rochdale	A100977-E	Va Hi Na In	{+4}	(689+2)	[BD5D]	fEB	-	-	710	2	Im	K5 V M5 V
1202	Pinatubo	C5A1256-8	Fl He Lo	{-2}	(911+1)	[114C]	B	-	-	204	8	Im	K5 V
1204	Shinchu	C7B2340-A	Fl He Lo	{+0}	(821-4)	[234D]	B	S	-	305	9	Im	F0 V
1210	Smalley	B300986-E	Va Hi Na In	{+4}	(A86-2)	[ED1E]	fEB	S	-	403	8	Im	G5 V
1213	Turgon	E410400-9	Ni	{-2}	(A30+2)	[4267]	B	-	-	303	7	Im	M0 V
1215	Xuzhou	D687443-7	Ga Ni Pa	{-3}	(530-2)	[3177]	cB	S	-	404	7	Im	K5 V
1216	Imakiire	C8B0434-5	He Ni	{-2}	(630+0)	[3233]	B	-	-	306	8	Im	w D
1219	Iwasaki	A100888-F	Va Ph Na Pi	{+3}	(97E+4)	[3B4C]	eDB	NS	-	404	8	Im	G0 V
1221	Agafonikov	B7A3786-C	Fl	{+2}	(B69+1)	[797A]	B	S	-	414	7	Im	M0 V
1223	Sormano	B889766-B	Ri	{+3}	(B68+5)	[7A1A]	CB	-	-	103	8	Im	G5 V
1228	Halwan	B410656-C	Ni Na	{+1}	(D54-1)	[278F]	B	-	-	905	7	Im	M0 V
1230	Boulanger	C8A4562-9	Fl Ni	{-1}	(D40-3)	[3449]	B	-	-	723	8	Im	K0 V
1231	Relvus	A000741-B	As Va Na Pi	{+2}	(A6E+2)	[998B]	DB	-	-	624	6	Im	M5 V
